date_local,NO2_mean_ppb,NO2_median_ppb,NO2_max_ppb,AQI_mean,first_max_hour_mode
2020-03-28,7.42278075,7.612500000000001,12.295833,16.75,6
2020-03-29,6.169316125,6.8104165000000005,10.016667,13.375,4
2020-03-30,10.3412364375,8.8125,23.979167,20.8125,7
2020-03-31,15.9210729375,16.020833,32.358333,27.75,7
2020-04-01,9.419193375,10.070833499999999,15.404167,19.875,4
2020-04-02,5.350742125,4.8479165,11.794118,12.5625,23
2020-04-03,8.3138813125,8.2354165,12.466667,19.0625,5
2020-04-04,5.402117125,5.2458335,7.708333,14.4375,0
2020-04-05,2.0144134375,2.26875,3.733333,3.75,0
2020-04-06,4.966779875,3.79375,20.3,9.6875,7
2020-04-07,7.4698935,6.387499999999999,15.929167,15.6875,6
2020-04-08,7.3373039375,5.1354165,24.533333,17.4375,6
2020-04-09,6.262028125,6.2854165,11.041667,10.0,6
2020-04-10,7.87109375,7.668749999999999,14.0625,19.125,20
2020-04-11,7.13183875,7.26875,11.316667,15.25,0
2020-04-12,3.1188745,3.2437500000000004,5.958333,5.5,6
2020-04-13,6.7748868125,6.1541665000000005,18.225,13.3125,23
2020-04-14,11.312258937500001,9.085416500000001,32.833333,21.8125,22
2020-04-15,13.216147875,10.1979165,34.725,27.25,6
2020-04-16,9.53229175,9.3895835,14.754167,20.75,6
2020-04-17,5.955049875,6.022917,8.3625,13.6875,5
2020-04-18,3.915534375,3.8666669999999996,7.379167,6.8125,5
2020-04-19,2.98524675,2.8,5.370833,6.1875,23
2020-04-20,6.3956974375,5.5041665,20.583333,14.0,5
2020-04-21,7.861277125,7.5416665,18.858333,16.5625,5
2020-04-22,11.8185753125,11.0625,29.529167,21.6875,6
2020-04-23,11.519525125,11.0958335,23.879167,21.8125,5
2020-04-24,12.5686096875,11.141667,32.3625,26.5,5
2020-04-25,9.4672666875,8.80625,16.254167,18.375,2
2020-04-26,8.85215125,9.0125,14.991667,16.5625,0
2020-04-27,10.175020375,10.4375,16.658333,17.5,23
2020-04-28,11.7384964,11.879167,18.194444,21.466666666666665,6
2020-04-29,10.774468666666667,11.375,17.045833,17.6,10
2020-04-30,9.1194776,10.145833,19.558333,14.866666666666667,9
2020-05-01,7.6482488,7.604167,13.141667,13.933333333333334,0
2020-05-02,6.03436,5.691667,9.370833,12.066666666666666,4
2020-05-03,5.177318933333334,5.066667,8.304167,9.133333333333333,3
2020-05-04,10.649927666666665,10.420833,22.220833,22.6,23
2020-05-05,15.542677733333333,14.858333,29.67619,29.6,6
2020-05-06,17.173101466666665,17.270833,34.429167,31.2,6
2020-05-07,14.865362333333334,15.466667,22.741667,30.133333333333333,5
2020-05-08,12.728632,11.565529999999999,20.504167,26.125,6
2020-05-09,6.79928675,7.1833335,10.320833,13.1875,1
2020-05-10,4.170029375,4.3998185,7.2375,7.8125,0
2020-05-11,5.787590625,5.1625,23.883333,9.125,6
2020-05-12,6.36999625,5.493155,15.1875,13.875,5
2020-05-13,7.238633999999999,6.170833,17.920833,14.5625,5
2020-05-14,8.08792175,6.995139,14.864286,15.3125,5
2020-05-15,6.9126569375,6.7020835000000005,10.891667,12.5625,5
2020-05-16,8.161933875,8.0020835,12.85,16.5,5
2020-05-17,4.399739625,4.4,7.629167,9.3125,2
