date_local,CO_mean_ppm,CO_median_ppm,CO_max_ppm,AQI_mean
2020-02-13,0.5050321538461539,0.525,0.654167,7.846153846153846
2020-02-14,0.5379807692307692,0.533333,0.745833,8.692307692307692
2020-02-15,0.5487179230769231,0.566667,0.779167,9.076923076923077
2020-02-16,0.49198707692307697,0.5375,0.675,7.846153846153846
2020-02-17,0.5115384615384616,0.516667,0.691667,8.076923076923077
2020-02-18,0.4847223076923077,0.475,0.905556,7.461538461538462
2020-02-19,0.3673077692307692,0.379167,0.475,5.615384615384615
2020-02-20,0.49391015384615383,0.5375,0.720833,7.923076923076923
2020-02-21,0.46041653846153846,0.470833,0.741667,8.0
2020-02-22,0.20961538461538462,0.208333,0.320833,2.8461538461538463
2020-02-23,0.27307692307692305,0.270833,0.454167,3.923076923076923
2020-02-24,0.4440933846153846,0.445833,0.6875,7.153846153846154
2020-02-25,0.4967948461538461,0.5125,0.8875,7.615384615384615
2020-02-26,0.4612181538461539,0.466667,0.779167,7.461538461538462
2020-02-27,0.45576907692307694,0.433333,0.720833,7.384615384615385
2020-02-28,0.42596138461538463,0.4125,0.633333,7.384615384615385
2020-02-29,0.35673076923076924,0.325,0.504167,6.076923076923077
2020-03-01,0.20288461538461539,0.2,0.333333,2.6923076923076925
2020-03-02,0.26025653846153846,0.25,0.4375,4.230769230769231
2020-03-03,0.30833338461538456,0.279167,0.533333,5.230769230769231
2020-03-04,0.42176584615384616,0.4,0.645455,6.769230769230769
2020-03-05,0.40673076923076923,0.441667,0.541667,6.076923076923077
2020-03-06,0.4304486153846154,0.458333,0.591667,6.923076923076923
2020-03-07,0.18910246153846152,0.2,0.320833,2.4615384615384617
2020-03-08,0.21442315384615387,0.2,0.379167,2.923076923076923
2020-03-09,0.30865384615384617,0.3375,0.4375,5.0
2020-03-10,0.2076923846153846,0.2,0.3,2.3076923076923075
2020-03-11,0.21549138461538464,0.222222,0.345833,3.3076923076923075
2020-03-12,0.3856685384615384,0.341667,0.595833,6.153846153846154
2020-03-13,0.2592948461538462,0.254167,0.4,3.6153846153846154
2020-03-14,0.24006415384615384,0.229167,0.375,3.3076923076923075
2020-03-15,0.21130953846153847,0.2,0.329167,3.076923076923077
2020-03-16,0.26955115384615386,0.279167,0.383333,4.461538461538462
2020-03-17,0.2743343076923077,0.266667,0.4375,4.384615384615385
2020-03-18,0.3313462307692308,0.286667,0.529167,4.923076923076923
2020-03-19,0.25017358333333334,0.2552085,0.4375,4.25
2020-03-20,0.22310976923076925,0.216667,0.35,3.0
2020-03-21,0.23782046153846154,0.220833,0.416667,3.230769230769231
2020-03-22,0.24340275,0.233333,0.375,4.083333333333333
2020-03-23,0.17916675,0.1833335,0.329167,2.5
2020-03-24,0.238368,0.2333335,0.3875,3.9166666666666665
2020-03-25,0.18437516666666667,0.166667,0.325,2.5833333333333335
2020-03-26,0.20694441666666666,0.2041665,0.3375,3.0
2020-03-27,0.21848284615384614,0.2,0.3875,3.230769230769231
2020-03-28,0.23012815384615384,0.204167,0.370833,3.1538461538461537
2020-03-29,0.24647438461538462,0.229167,0.3875,4.0
2020-03-30,0.26634623076923075,0.270833,0.416667,4.230769230769231
2020-03-31,0.3490535384615384,0.3625,0.516667,5.615384615384615
