date_local,PM25_mean_ugm3,PM25_median_ugm3,PM25_max_ugm3,AQI_mean
2020-06-02,11.276923076923076,11.8,13.1,54.30769230769231
2020-06-03,13.357142857142858,13.9,16.6,58.285714285714285
2020-06-04,10.942857142857141,10.9,12.6,54.42857142857143
2020-06-05,6.316666666666666,6.05,7.9,35.166666666666664
2020-06-06,6.371428571428572,6.6,7.9,35.42857142857143
2020-06-07,8.085714285714285,8.2,10.7,43.857142857142854
2020-06-08,5.771428571428571,5.95,8.7,32.07142857142857
2020-06-09,6.68,6.6,9.6,37.0
2020-06-10,11.057142857142859,10.6,15.2,54.142857142857146
2020-06-11,9.9,9.9,11.9,51.833333333333336
2020-06-12,8.042857142857143,7.5,9.9,44.285714285714285
2020-06-13,6.714285714285714,6.9,8.4,37.285714285714285
2020-06-14,8.778571428571428,9.45,11.2,47.42857142857143
2020-06-15,8.014285714285714,8.2,10.2,43.857142857142854
2020-06-16,8.142857142857142,8.0,9.2,45.142857142857146
2020-06-17,7.816666666666666,7.9,9.8,43.166666666666664
2020-06-18,8.614285714285714,8.1,10.6,47.0
2020-06-19,9.785714285714286,9.6,11.2,51.857142857142854
2020-06-20,8.707692307692309,8.6,9.9,48.0
2020-06-21,8.166666666666666,8.2,9.6,45.0
2020-06-22,8.583333333333334,8.55,10.6,46.833333333333336
2020-06-23,9.463636363636363,9.2,13.2,49.18181818181818
2020-06-24,9.971428571428572,9.6,13.1,51.42857142857143
2020-06-25,6.3999999999999995,6.3,8.4,35.714285714285715
2020-06-26,8.25,7.85,12.2,44.642857142857146
2020-06-27,8.828571428571427,8.3,10.8,47.42857142857143
2020-06-28,3.257142857142857,2.7,6.2,18.142857142857142
2020-06-29,5.1000000000000005,4.85,6.8,28.416666666666668
2020-06-30,9.842857142857143,9.8,11.8,51.0
2020-07-01,9.585714285714285,9.1,13.2,50.42857142857143
2020-07-02,8.557142857142857,8.55,10.4,47.07142857142857
2020-07-03,9.257142857142856,8.8,11.7,48.857142857142854
2020-07-04,45.48571428571428,38.4,90.2,115.28571428571429
2020-07-05,59.5,58.7,175.0,134.33333333333334
2020-07-06,13.757142857142856,13.5,18.5,59.57142857142857
