feature,importance
AQI_mean_NO2_lag1,1094.2801513671875
AWND,471.4438781738281
TMIN_C,227.11471557617188
TMAX_C,202.91928100585938
workplaces,188.40570068359375
PRCP_mm,140.19683837890625
parks,121.65379333496094
retail_recreation,83.66943359375
TAVG_C,69.16563415527344
transit,67.81468963623047
WT08,61.49067306518555
WT01,57.82997512817383
residential,56.82067108154297
grocery_pharmacy,41.89630126953125
