feature,importance
CO_mean_ppm_lag1,0.23306597769260406
AWND,0.12078296393156052
PRCP_mm,0.07532800734043121
TMIN_C,0.03856213763356209
parks,0.03165135160088539
TMAX_C,0.025530682876706123
WT08,0.025369174778461456
grocery_pharmacy,0.016606353223323822
retail_recreation,0.013618637807667255
transit,0.012453305535018444
workplaces,0.010971776209771633
TAVG_C,0.010791007429361343
WT01,0.010625159367918968
WT02,0.008738298900425434
residential,0.007928948849439621
