model,rmse,mae,r2,best_params
XGBoost,0.0423106632792996,0.03375155978514517,0.5172086195693999,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 300, ""model__subsample"": 0.8}"
Ridge,0.042361611785672694,0.033771687035954255,0.5160452102824717,"{""model__alpha"": 3.593813663804626}"
ElasticNet,0.042725491428462804,0.034384383316462444,0.5076953090442169,"{""model__alpha"": 0.007742636826811269, ""model__l1_ratio"": 0.1}"
Lasso,0.042892873764410686,0.034539017725577326,0.5038304256438431,"{""model__alpha"": 0.0011787686347935866}"
RandomForest,0.04568011519165127,0.03707931605911511,0.4372516614819635,"{""model__max_depth"": 10, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}"
SVR,0.05390055016051615,0.04278003528803212,0.21648694576936955,"{""model__C"": 50, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
LinearRegression,0.06521102927115159,0.050608051852181535,-0.14683767264026604,{}
