timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue,cloud_provider,cloud_region
2025-11-27T00:33:41,tabular_PM25_mean_ugm3,c48c67fc-425e-4c46-b3d6-dad168a555e4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,143.94574570400073,0.0003174968991761,2.205670599178464e-06,7.619148546000003,0,10.0,0.0004747125664389,0.0,0.0003853994095583,0.0008601119759972,0.0,United States,USA,virginia,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,3.1.1,12,AMD Ryzen 5 5600U with Radeon Graphics,1,1 x NVIDIA GeForce MX450,-77.09,38.8428,6.6984405517578125,machine,N,1.0,0.0,,
2025-11-27T00:34:17,lstm_AQI_mean_NO2,72ee2930-1d04-4476-9381-42f5e0e0c6bd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.608657601000232,3.511294531135021e-05,1.1471573098391217e-06,1.5836402473125002,0,10.0,1.2891007780853872e-05,0.0,8.223138507777952e-05,9.51223928586334e-05,0.0,United States,USA,virginia,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.35,3.10.12,3.1.1,12,AMD Ryzen 5 5600U with Radeon Graphics,1,1 x NVIDIA GeForce MX450,-77.09,38.8428,6.6984405517578125,machine,N,1.0,0.0,,
